# alpha(°)  I_r (mA)
87  0.500
85  0.480
83  0.460
81  0.460
79  0.410
77  0.400
75  0.360
73  0.320
71  0.280
69  0.220
67  0.200
65  0.180
63  0.120
61  0.100
59  0.100
57  0.072
55  0.060
53  0.040
51  0.038
49  0.030
47  0.026
45  0.022
43  0.018
41  0.016
39  0.018
37  0.018
35  0.016
33  0.012
31  0.012
29  0.012
27  0.010
25  0.012
23  0.010
21  0.012
19  0.012
17  0.010
15  0.010
13  0.010
11  0.010
9   0.010
7   0.010
5   0.010
3   0.010
