#Saugspannung(V)    Heizstrom(mA)
0   0.000
5   0.010
10  0.023
15  0.035
20  0.042
25  0.046
30  0.049
35  0.050
40  0.052
45  0.053
50  0.054
55  0.055
60  0.056
70  0.056
80  0.056
90  0.059
100 0.060
110 0.061
120 0.062
130 0.063
140 0.064
150 0.064
160 0.065
170 0.066
180 0.066
190 0.066
200 0.066
210 0.066
220 0.066
230 0.066
240 0.066
250 0.066
