 #Saugspannung(V)    Heizstrom(mA)
0   0.000
5   0.023
10  0.062
15  0.109
20  0.160
25  0.217
30  0.276
35  0.329
40  0.321
45  0.358
50  0.397
55  0.444
60  0.484
70  0.594
80  0.686
90  0.791
100 0.890
110 1.010
120 1.121
130 1.228
140 1.336
150 1.436
160 1.516
170 1.592
180 1.666
190 1.746
200 1.822
210 1.903
220 1.969
230 2.040
240 2.090
250 2.140
