 #Saugspannung(V)    Heizstrom(mA)
0   0.000
5   0.012
10  0.030
15  0.051
20  0.069
25  0.079
30  0.086
35  0.091
40  0.094
45  0.097
50  0.099
55  0.100
60  0.102
70  0.103
80  0.100
90  0.105
100 0.108
110 0.111
120 0.113
130 0.114
140 0.116
150 0.117
160 0.118
170 0.119
180 0.119
190 0.119
200 0.120
210 0.120
220 0.120
230 0.120
240 0.120
250 0.120
