4805.000 1.225
4810.000 1.170
4815.000 1.205
4820.000 1.245
4825.000 1.292
4830.000 1.339
4835.000 1.385
4840.000 1.410
4845.000 1.469
4850.000 1.527
4855.000 1.578
4860.000 1.658
4865.000 1.737
4870.000 1.820
4875.000 1.909
4880.000 2.023
4885.000 2.121
4890.000 2.248
4895.000 2.390
4900.000 2.482
4905.000 2.654
4910.000 2.848
4915.000 3.057
4920.000 3.327
4925.000 3.617
4930.000 3.983
4935.000 4.380
4940.000 4.840
4945.000 5.440
4950.000 6.096
4955.000 6.700
4960.000 7.500
4965.000 9.270
4970.000 19.141
4975.000 18.946
4980.000 25.298
4985.000 26.022
4990.000 21.107
4995.000 14.694
5000.000 11.182
5005.000 8.974
5010.000 7.544
5015.000 6.535
5020.000 5.731
5025.000 5.435
5030.000 4.797
5035.000 3.954
5040.000 4.211
5045.000 3.828
5050.000 3.538
5055.000 3.330
5060.000 3.120
5065.000 2.957
5070.000 2.815
5075.000 2.690
5080.000 2.629
5085.000 2.523
5090.000 2.422
5095.000 2.334
5100.000 2.255
5105.000 2.183
5110.000 2.114
5115.000 2.062
5120.000 2.009
5125.000 1.955
5130.000 1.918
5135.000 1.866
5140.000 1.831
5145.000 1.819
5150.000 1.785
5155.000 1.754
5160.000 1.725
5165.000 1.707
5170.000 1.669
5175.000 1.640
5180.000 1.632
5185.000 1.609
5190.000 1.592
5195.000 1.570
5200.000 1.554
