#x  D_0 D_x
95  9.17    8.94
115 9.23    8.96
135 9.30    8.99
155 9.34    9.01
175 9.39    9.03
195 9.42    9.03
215 9.45    9.03 
235 9.49    9.07 
255 9.55    9.12 
275 9.59    9.13
315 10.52   10.15
335 10.56   10.19
355 10.55   10.19
375 10.53   10.21
395 10.54   10.25
415 10.55   10.29
435 10.57   10.34
455 10.58   10.41
475 10.65   10.50
495 10.68   10.60









