No,	 time,		 sec,druck,	 TPG361_D1 [mbar],	 TPG361_D2 [mbar]
92,	05:04:37,	92,	4.449E+02,	9.980E+02,	9.510E+02
93,	05:04:38,	93,	4.479E+02,	9.990E+02,	9.620E+02
94,	05:04:40,	94,	4.539E+02,	9.990E+02,	9.750E+02
95,	05:04:41,	95,	4.569E+02,	9.990E+02,	9.940E+02
96,	05:04:42,	96,	4.599E+02,	9.980E+02,	9.950E+02
97,	05:04:44,	98,	4.659E+02,	1.000E+03,	1.000E+03
98,	05:04:45,	99,	4.690E+02,	9.990E+02,	1.000E+03
99,	05:04:46,	100,	4.720E+02,	9.990E+02,	1.000E+03
100,	05:04:48,	101,	4.749E+02,	9.990E+02,	1.000E+03
101,	05:04:49,	102,	4.808E+02,	9.990E+02,	1.000E+03
102,	05:04:50,	103,	4.838E+02,	9.980E+02,	1.000E+03
103,	05:04:52,	104,	4.897E+02,	9.990E+02,	1.000E+03
104,	05:04:53,	105,	4.926E+02,	1.000E+03,	1.000E+03
105,	05:04:54,	106,	4.956E+02,	9.990E+02,	1.000E+03
106,	05:04:56,	107,	5.015E+02,	9.990E+02,	1.000E+03
107,	05:04:57,	108,	5.044E+02,	9.990E+02,	1.000E+03
108,	05:04:58,	109,	5.073E+02,	9.990E+02,	1.000E+03
109,	05:05:00,	110,	5.133E+02,	1.000E+03,	1.000E+03
110,	05:05:01,	111,	5.161E+02,	9.990E+02,	1.000E+03
111,	05:05:02,	112,	5.192E+02,	1.000E+03,	1.000E+03
112,	05:05:04,	113,	5.250E+02,	9.980E+02,	1.000E+03
113,	05:05:05,	114,	5.280E+02,	9.990E+02,	1.000E+03
114,	05:05:06,	115,	5.308E+02,	9.980E+02,	1.000E+03
115,	05:05:08,	116,	5.367E+02,	9.990E+02,	1.000E+03
116,	05:05:09,	117,	5.395E+02,	9.990E+02,	1.000E+03
117,	05:05:11,	118,	5.425E+02,	1.000E+03,	1.000E+03
118,	05:05:12,	119,	5.482E+02,	9.990E+02,	1.000E+03
119,	05:05:13,	120,	5.512E+02,	9.980E+02,	1.000E+03
120,	05:05:15,	121,	5.540E+02,	9.990E+02,	1.000E+03
121,	05:05:16,	122,	5.599E+02,	1.000E+03,	1.000E+03
122,	05:05:17,	123,	5.627E+02,	1.000E+03,	1.000E+03
123,	05:05:19,	124,	5.656E+02,	1.000E+03,	1.000E+03
124,	05:05:20,	125,	5.714E+02,	9.980E+02,	1.000E+03
125,	05:05:21,	126,	5.743E+02,	1.000E+03,	1.000E+03
126,	05:05:23,	127,	5.801E+02,	9.990E+02,	1.000E+03
127,	05:05:24,	128,	5.829E+02,	9.990E+02,	1.000E+03
128,	05:05:26,	129,	5.857E+02,	9.990E+02,	1.000E+03
129,	05:05:27,	130,	5.915E+02,	9.990E+02,	1.000E+03
130,	05:05:28,	131,	5.942E+02,	9.990E+02,	1.000E+03
131,	05:05:30,	132,	5.971E+02,	9.990E+02,	1.000E+03
132,	05:05:31,	133,	6.027E+02,	9.980E+02,	1.000E+03
133,	05:05:32,	134,	6.055E+02,	9.990E+02,	1.000E+03
134,	05:05:34,	135,	6.111E+02,	9.990E+02,	1.000E+03
135,	05:05:35,	136,	6.140E+02,	9.980E+02,	1.000E+03
136,	05:05:37,	137,	6.167E+02,	9.990E+02,	1.000E+03
137,	05:05:38,	138,	6.223E+02,	1.000E+03,	1.000E+03
138,	05:05:39,	139,	6.250E+02,	1.000E+03,	1.000E+03
139,	05:05:41,	140,	6.306E+02,	9.990E+02,	1.000E+03
140,	05:05:42,	141,	6.334E+02,	1.000E+03,	1.000E+03
141,	05:05:43,	142,	6.362E+02,	9.990E+02,	1.000E+03
142,	05:05:45,	143,	6.417E+02,	1.000E+03,	1.000E+03
143,	05:05:46,	144,	6.445E+02,	1.000E+03,	1.000E+03
144,	05:05:48,	145,	6.471E+02,	9.990E+02,	1.000E+03
145,	05:05:49,	146,	6.527E+02,	9.980E+02,	1.000E+03
146,	05:05:50,	147,	6.553E+02,	9.990E+02,	1.000E+03
147,	05:05:52,	148,	6.608E+02,	9.990E+02,	1.000E+03
148,	05:05:53,	149,	6.634E+02,	9.990E+02,	1.000E+03
149,	05:05:55,	150,	6.659E+02,	9.990E+02,	1.000E+03
150,	05:05:56,	151,	6.714E+02,	1.000E+03,	1.000E+03
151,	05:05:57,	152,	6.740E+02,	9.990E+02,	1.000E+03
152,	05:05:59,	153,	6.795E+02,	1.000E+03,	1.000E+03
153,	05:06:00,	154,	6.820E+02,	1.000E+03,	1.000E+03
154,	05:06:02,	155,	6.846E+02,	9.990E+02,	1.000E+03
155,	05:06:03,	156,	6.899E+02,	9.990E+02,	1.000E+03
156,	05:06:04,	157,	6.925E+02,	9.990E+02,	1.000E+03
157,	05:06:06,	158,	6.977E+02,	9.980E+02,	1.000E+03
158,	05:06:07,	159,	7.003E+02,	9.990E+02,	1.000E+03
159,	05:06:09,	160,	7.028E+02,	1.000E+03,	1.000E+03
160,	05:06:10,	161,	7.079E+02,	9.990E+02,	1.000E+03
161,	05:06:12,	163,	7.105E+02,	9.990E+02,	1.000E+03
162,	05:06:13,	164,	7.157E+02,	9.990E+02,	1.000E+03
163,	05:06:14,	165,	7.181E+02,	9.990E+02,	1.000E+03
164,	05:06:16,	166,	7.206E+02,	1.000E+03,	1.000E+03
165,	05:06:17,	167,	7.255E+02,	9.990E+02,	1.000E+03
166,	05:06:18,	168,	7.281E+02,	9.990E+02,	1.000E+03
167,	05:06:20,	169,	7.332E+02,	9.990E+02,	1.000E+03
168,	05:06:21,	170,	7.355E+02,	9.990E+02,	1.000E+03
169,	05:06:23,	171,	7.405E+02,	9.990E+02,	1.000E+03
170,	05:06:24,	172,	7.429E+02,	1.000E+03,	1.000E+03
171,	05:06:26,	173,	7.453E+02,	1.000E+03,	1.000E+03
172,	05:06:27,	174,	7.501E+02,	9.990E+02,	1.000E+03
173,	05:06:28,	175,	7.524E+02,	9.990E+02,	1.000E+03
174,	05:06:30,	176,	7.572E+02,	9.990E+02,	1.000E+03
175,	05:06:31,	177,	7.597E+02,	9.990E+02,	1.000E+03
176,	05:06:33,	178,	7.619E+02,	9.990E+02,	1.000E+03
177,	05:06:34,	179,	7.667E+02,	1.000E+03,	1.000E+03
178,	05:06:35,	180,	7.690E+02,	9.980E+02,	1.000E+03
179,	05:06:37,	181,	7.736E+02,	9.990E+02,	1.000E+03
180,	05:06:38,	182,	7.759E+02,	9.990E+02,	1.000E+03
181,	05:06:40,	183,	7.781E+02,	1.000E+03,	1.000E+03
182,	05:06:41,	184,	7.829E+02,	9.990E+02,	1.000E+03
183,	05:06:42,	185,	7.850E+02,	9.980E+02,	1.000E+03
184,	05:06:44,	186,	7.895E+02,	1.000E+03,	1.000E+03
185,	05:06:45,	187,	7.918E+02,	9.990E+02,	1.000E+03
186,	05:06:47,	188,	7.940E+02,	9.990E+02,	1.000E+03
187,	05:06:48,	189,	7.984E+02,	9.990E+02,	1.000E+03
188,	05:06:49,	190,	8.007E+02,	1.000E+03,	1.000E+03
189,	05:06:51,	191,	8.049E+02,	9.980E+02,	1.000E+03
190,	05:06:52,	192,	8.071E+02,	9.990E+02,	1.000E+03
191,	05:06:54,	193,	8.093E+02,	9.990E+02,	1.000E+03
192,	05:06:55,	194,	8.135E+02,	1.000E+03,	1.000E+03
193,	05:06:57,	195,	8.157E+02,	1.000E+03,	1.000E+03
194,	05:06:58,	196,	8.199E+02,	9.990E+02,	1.000E+03
195,	05:06:59,	197,	8.219E+02,	9.990E+02,	1.000E+03
196,	05:07:01,	198,	8.262E+02,	9.990E+02,	1.000E+03
197,	05:07:02,	199,	8.281E+02,	9.990E+02,	1.000E+03
198,	05:07:04,	200,	8.322E+02,	9.990E+02,	1.000E+03
199,	05:07:05,	201,	8.344E+02,	1.000E+03,	1.000E+03
200,	05:07:07,	202,	8.364E+02,	9.990E+02,	1.000E+03
201,	05:07:08,	203,	8.404E+02,	9.990E+02,	1.000E+03
